,Regio,Elektriciteitsproductie/Genormaliseerde productie (mln kWh),Elektriciteitsproductie/Productiefactor (%),Elektrisch vermogen/Opgesteld vermogen einde jaar (megawatt)
0,Nederland,7429.0,"25,9",3527
2,Groningen (PV),986.0,"26,7",450
4,Frysl̢n (PV),415.0,"25,8",197
6,Drenthe (PV),,,22
8,Overijssel (PV),86.0,"23,1",61
10,Flevoland (PV),2424.0,"24,8",1175
12,Gelderland (PV),152.0,"22,7",82
14,Utrecht (PV),78.0,"27,8",34
16,Noord-Holland (PV),635.0,24,313
18,Zuid-Holland (PV),956.0,"27,7",437
20,Zeeland (PV),1189.0,"28,3",519
22,Noord-Brabant (PV),442.0,"25,3",225
24,Limburg (PV),,,13
